(constsym,	const)
(ident,	a)
(eql,	=)
(number,	10)
(comma,	,)
(ident,	b)
(eql,	=)
(number,	20)
(semicolon,	;)
(varsym,	var)
(ident,	c)
(comma,	,)
(ident,	iii)
(semicolon,	;)
(beginsym,	begin)
(ident,	iii)
(becomes,	:=)
(number,	1)
(semicolon,	;)
(ident,	c)
(becomes,	:=)
(number,	0)
(semicolon,	;)
(whilesym,	while)
(ident,	iii)
(leq,	<=)
(ident,	a)
(dosym,	do)
(beginsym,	begin)
(ident,	c)
(becomes,	:=)
(ident,	c)
(plus,	+)
(number,	1)
(semicolon,	;)
(ident,	iii)
(becomes,	:=)
(ident,	iii)
(plus,	+)
(number,	1)
(semicolon,	;)
(endsym,	end)
(semicolon,	;)
(ident,	iii)
(becomes,	:=)
(number,	1)
(semicolon,	;)
(whilesym,	while)
(ident,	iii)
(leq,	<=)
(ident,	b)
(dosym,	do)
(beginsym,	begin)
(ident,	c)
(becomes,	:=)
(ident,	c)
(plus,	+)
(number,	1)
(semicolon,	;)
(ident,	iii)
(becomes,	:=)
(ident,	iii)
(plus,	+)
(number,	1)
(semicolon,	;)
(endsym,	end)
(semicolon,	;)
(writesym,	write)
(lparen,	()
(ident,	c)
(rparen,	))
(semicolon,	;)
(endsym,	end)
(period,	.)
