(constsym,	const)
(ident,	n)
(eql,	=)
(number,	10)
(semicolon,	;)
(varsym,	var)
(ident,	i)
(comma,	,)
(ident,	a)
(comma,	,)
(ident,	b)
(comma,	,)
(ident,	c)
(semicolon,	;)
(beginsym,	begin)
(ident,	a)
(becomes,	:=)
(number,	0)
(semicolon,	;)
(ident,	b)
(becomes,	:=)
(number,	1)
(semicolon,	;)
(ident,	i)
(becomes,	:=)
(number,	1)
(semicolon,	;)
(whilesym,	while)
(ident,	i)
(leq,	<=)
(ident,	n)
(dosym,	do)
(beginsym,	begin)
(writesym,	write)
(lparen,	()
(ident,	b)
(rparen,	))
(semicolon,	;)
(ident,	c)
(becomes,	:=)
(ident,	a)
(plus,	+)
(ident,	b)
(semicolon,	;)
(ident,	a)
(becomes,	:=)
(ident,	b)
(semicolon,	;)
(ident,	b)
(becomes,	:=)
(ident,	c)
(semicolon,	;)
(ident,	i)
(becomes,	:=)
(ident,	i)
(plus,	+)
(number,	1)
(semicolon,	;)
(endsym,	end)
(semicolon,	;)
(endsym,	end)
(period,	.)
